time,FX.FLOWS.DEVELOPED.FXF_G10.FXF_ALL.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.FXF_ALL.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.FXF_ALL.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.FXF_ALL.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.USD.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.USD.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.USD.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.USD.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.EUR.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.EUR.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.EUR.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.EUR.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.AUD.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.AUD.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.AUD.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.AUD.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CAD.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CAD.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CAD.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CAD.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CHF.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CHF.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CHF.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CHF.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.GBP.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.GBP.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.GBP.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.GBP.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.JPY.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.JPY.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.JPY.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.JPY.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NOK.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NOK.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NOK.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NOK.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NZD.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NZD.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NZD.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NZD.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.SEK.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.SEK.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.SEK.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.SEK.FXF_RM.NET_INDEX
2011-12-01,-2.20221,-8.69476,7.53109,-9.06632,-0.818743,0.396576,-1.67674,-0.168137,1.06737,0.007991,1.07526,0.443633,2.784,-1.59465,2.99266,-2.81849,-1.80294,-4.25082,-3.80504,4.97807,1.81702,3.50368,2.67394,-0.343001,0.811321,-2.82677,1.31267,-2.20302,0.620475,-0.359071,0.669936,-4.77284,-2.0843,-0.217023,-2.71909,-4.08309,-5.12781,0.391747,2.11171,4.22113,0.531388,-3.74642,4.89578,-4.32057
2011-12-02,-4.15674,-2.63748,15.9082,12.9659,-1.61482,-0.762622,-0.09619,1.64039,2.94287,1.85532,0.414914,-3.93402,-1.69722,0.820602,-0.853365,-0.649021,-3.45289,-4.9178,0.425221,4.42311,-0.43575,0.63082,2.82507,-2.30253,0.327056,1.58362,-0.586456,3.85494,1.88307,1.73674,-0.299752,0.562985,0.097568,1.84602,2.95014,-4.28823,0.124322,-0.95863,2.31918,1.27471,-2.33094,-4.47155,8.80947,12.3836
2011-12-05,-3.65958,-2.68766,-5.10305,14.9245,-0.544948,0.826072,0.743088,-0.115827,1.62939,0.820741,-1.67368,-1.35226,-0.328144,-1.59465,2.24165,4.17468,0.298555,0.039999,-0.870368,-9.66389,-0.050794,0.581315,-5.27909,8.83044,-1.16501,-1.66771,0.00723,-2.02288,-2.32292,0.027643,1.36995,-2.05093,4.13934,-1.68197,1.92926,0.437606,-2.23644,0.632023,-4.18368,2.9207,-3.0786,-0.671123,0.612605,13.7669
2011-12-06,6.29029,0.36271,-5.76872,-11.1989,-0.00134,-0.775639,0.359821,-1.64872,0.305458,1.34557,1.72982,1.71266,3.56042,-1.55008,1.5896,-2.18113,4.38387,-1.96124,5.03541,-9.03522,2.91945,-0.502195,-1.48311,3.05995,-1.85352,0.394295,-2.39487,1.64402,-2.67207,1.4724,-1.57458,1.60101,1.69675,-4.47343,2.10892,-4.77101,1.2128,-0.7192,-9.80335,2.7889,-3.26153,7.13223,-1.33638,-4.36937
2011-12-07,-3.27888,-8.27696,16.4009,15.2972,-0.083578,-1.76532,0.005944,-0.826983,0.356778,1.3269,-2.09811,-1.32766,-0.319497,1.59465,4.13608,2.7716,2.44515,-3.0149,2.18758,1.36159,-3.0542,-0.540054,1.1901,3.63023,-1.29936,-0.231447,0.275248,-0.49486,0.541101,0.307696,-0.394519,-2.84331,-1.79328,-0.063114,7.05988,-0.339101,2.39672,-0.160538,-2.04335,-0.401182,-2.46872,-5.73084,6.08206,13.7669
2011-12-08,-4.68419,-10.2677,-14.1704,6.04813,-0.611219,0.469522,0.431317,-0.547315,0.879348,-0.167249,-0.587859,-0.587753,4.07973,0.029788,1.64924,-1.99526,-1.00922,-0.597704,-0.676052,-0.412574,-3.0922,-1.58857,-5.50181,-0.819083,-1.38253,-1.72968,-0.959646,1.52719,-2.60254,-2.04596,3.28733,0.297077,0.681632,-2.16106,0.358631,-0.40937,1.40324,0.540405,-9.13154,-0.526145,-3.03043,-3.01724,-3.04006,9.52137
2011-12-09,-8.53717,-1.15466,4.77821,-3.99148,0.044288,-0.124823,-1.21909,1.17563,-0.189771,0.403937,1.04318,-2.48482,-0.893038,-0.700958,2.14545,-0.408241,-1.42705,-3.33734,0.336073,1.6691,3.39972,3.75388,0.83273,2.234,0.889091,-2.75356,2.22062,-2.30846,-0.24735,-0.641087,-0.371854,-0.501822,-2.76864,-4.47343,2.31738,1.33361,-3.55604,0.120006,-3.15933,4.19171,-3.78839,6.59872,0.633045,-8.89219
2011-12-12,8.00072,-6.67543,-5.14377,9.61605,-2.04444,-0.908222,2.18788,0.111821,2.94287,1.886,-0.919552,-1.95912,0.321774,0.558048,-5.08698,1.82352,4.1878,1.35034,-1.52571,-3.03336,-4.103,-3.75388,4.32545,3.49861,1.36707,-0.492884,-0.92008,4.07149,0.389634,0.51926,-0.701098,1.56308,-1.65415,-3.09498,1.62628,8.58196,5.16121,0.134085,-3.12644,-7.65601,1.43194,-2.8732,-1.00352,2.61406
2011-12-13,-0.839193,-4.15302,1.77035,11.8142,-0.270397,-0.441576,0.79161,1.15823,2.09315,1.83221,-1.07856,-3.7049,1.65122,1.41491,-0.212027,-0.757862,-0.265225,-3.80615,-4.18015,-2.30875,-3.21152,-1.13148,-2.13742,2.35954,-1.63878,2.4665,-1.58867,1.38184,-2.94355,-1.98624,1.09803,0.279607,0.097734,-4.47343,7.05988,-2.29435,4.51856,-1.74995,-0.027462,1.93397,-0.870382,3.72218,2.04512,13.7669
2011-12-14,7.78715,-9.48746,-9.49979,-30.6879,-1.61224,0.493245,1.39949,1.04287,2.71696,-1.10948,-0.808051,-3.63211,1.7285,-1.15223,-2.22707,-2.33906,-1.23544,-4.21131,-2.60217,-8.66308,3.07039,3.75388,-0.512177,-8.83044,-3.46607,-2.96743,-0.790869,6.58748,-1.03016,-1.04166,0.739307,1.79668,-0.959989,-0.902199,-0.96035,-6.32927,5.60053,-1.36756,-5.31922,0.67359,2.97467,-0.982718,1.58131,-10.9946
