time,FX.FLOWS.EMERGING.FXF_ALL.FXF_ALL.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_ALL.FXF_ALL.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_ALL.FXF_ALL.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_ALL.FXF_ALL.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.FXF_ALL.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.FXF_ALL.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.FXF_ALL.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.FXF_ALL.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.CNH.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.CNH.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.CNH.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.CNH.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.HKD.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.HKD.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.HKD.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.HKD.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.IDR.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.IDR.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.IDR.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.IDR.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.INR.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.INR.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.INR.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.INR.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.KRW.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.KRW.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.KRW.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.KRW.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.MYR.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.MYR.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.MYR.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.MYR.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.PHP.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.PHP.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.PHP.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.PHP.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.SGD.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.SGD.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.SGD.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.SGD.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.THB.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.THB.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.THB.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.THB.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.TWD.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.TWD.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.TWD.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_ASIA.TWD.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.FXF_ALL.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.FXF_ALL.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.FXF_ALL.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.FXF_ALL.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.CZK.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.CZK.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.CZK.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.CZK.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.HUF.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.HUF.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.HUF.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.HUF.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.ILS.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.ILS.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.ILS.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.ILS.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.PLN.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.PLN.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.PLN.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.PLN.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.RON.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.RON.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.RON.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.RON.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.RUB.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.RUB.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.RUB.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.RUB.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.TRY.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.TRY.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.TRY.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.TRY.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.ZAR.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.ZAR.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.ZAR.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_CEEMEA.ZAR.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.FXF_ALL.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.FXF_ALL.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.FXF_ALL.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.FXF_ALL.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.ARS.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.ARS.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.ARS.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.ARS.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.BRL.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.BRL.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.BRL.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.BRL.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.CLP.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.CLP.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.CLP.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.CLP.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.COP.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.COP.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.COP.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.COP.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.MXN.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.MXN.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.MXN.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.MXN.FXF_RM.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.PEN.FXF_BANK.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.PEN.FXF_CORP.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.PEN.FXF_LEV.NET_INDEX,FX.FLOWS.EMERGING.FXF_LATAM.PEN.FXF_RM.NET_INDEX
2011-12-01,-1.39472,-1.19826,2.76422,6.52664,0.536668,-2.84687,2.53145,4.47071,1.40242,3.88836,4.22597,6.68918,6.32902,-5.24336,-0.082917,18.2908,-1.2505,-6.40137,6.38442,-9.19225,-0.271834,1.83195,3.37479,14.4114,0.276963,,-3.11325,-26.8202,-6.61913,-8.43303,1.96355,9.18677,3.16974,-9.80055,-8.54766,-7.4265,7.31791,1.33809,-2.85135,-14.0169,0.667201,9.7554,,30.6096,,-0.179018,9.43147,,-3.64969,-5.27426,-0.1964,7.50591,6.51524,-16.5442,-0.558458,-3.46593,-1.80529,-5.15809,-2.21503,11.3721,-5.38331,3.0537,10.9784,6.70243,-8.16836,-7.66503,-1.77165,19.0168,,-6.71319,,,-2.93541,-6.84836,0.052602,-0.150316,-3.89718,-0.61538,0.051352,1.29539,-6.54969,-5.36945,-1.2199,12.6864,-2.35951,4.96376,6.23924,4.28173,,,,,0.887043,0.776248,,0.046435,,,-4.43106,4.03528,,,-0.638319,-6.31507,-2.33439,0.646549,4.10094,3.66032,-22.42,5.12628,,3.76512
2011-12-02,-0.998015,-0.993321,-1.6738,-1.35678,-0.337089,1.11853,-5.09675,-7.46592,-0.149152,0.598736,,-2.02134,1.39895,2.41156,0.004101,-18.2908,-0.30052,-4.14337,,18.8818,,7.4698,2.47055,-7.45599,,,-0.292369,-10.5336,-1.90027,1.4228,,-5.35981,12.7845,3.28099,-9.38747,-2.00377,-7.31791,0.840824,-2.11231,-5.04138,,4.68044,,-10.8529,,,,,-1.15284,-4.65693,2.77629,4.76581,6.86228,-5.51319,3.92278,-10.8338,-0.70698,-3.06809,-3.54392,11.3721,-0.435547,3.89176,-0.091078,5.12367,1.35388,-13.8062,9.02148,19.0168,-6.98099,0.979122,,2.72472,1.98482,5.36472,,-0.156288,-11.0502,-1.36623,0.365873,2.47109,-4.0804,-2.32248,1.02632,-2.39302,-1.97211,-0.854384,-0.400734,1.96654,,,,0.332952,5.15297,-0.485472,,,,,,,,,,6.60738,-6.15119,0.696731,-2.40931,2.16481,-6.70985,1.62134,,0.372308
2011-12-05,1.40051,-2.09003,0.04019,3.40509,-0.392922,-1.45048,-0.635848,4.8367,3.63718,-0.072569,-4.58169,0.29251,-7.65676,-6.9232,,13.9024,-0.190721,-2.8929,,7.60872,-0.284942,7.4698,-5.74619,-18.2317,,,9.33976,15.814,-2.34543,5.01187,,10.2929,7.8642,-5.89624,,0.404239,4.50849,4.211,0.466298,-9.97899,0.122448,7.54255,,0.285694,,,2.9001,15.6984,1.18917,0.191119,3.57495,6.01617,-2.69196,1.46406,-0.800058,4.96935,0.296251,6.03323,0.902462,-1.31533,-2.38337,2.37931,0.320848,2.06027,7.92408,-13.8062,9.02148,19.0168,,22.462,,3.07524,0.100482,4.15899,,0.110183,7.24778,-2.2224,3.22256,6.9358,-3.72349,1.25475,2.63517,1.67666,4.48529,-4.96376,-2.26713,-0.828474,,,,0.332952,1.86044,-0.317845,,-0.312674,,,,-5.10039,,,,,8.45567,-5.01408,-2.26799,-0.249596,3.93431,0.953899,,-3.76512
2011-12-06,-0.439951,-0.463145,-3.58391,4.55207,0.904209,2.18781,-5.71261,-0.137512,8.55423,1.88911,1.5446,2.79273,-3.27244,4.50731,-0.438022,-10.0556,-0.088848,1.90829,,1.06592,,0.736555,,,,,-7.53142,1.44606,-5.19867,3.56085,-2.69565,10.1354,2.01248,4.00762,-5.09158,-7.4265,2.95575,4.33968,0.229197,0.148315,,5.71491,,7.54683,0.013155,,9.43147,-3.41554,-1.42183,-4.12214,-4.92137,7.50591,-1.1033,7.59256,-1.84145,-3.69333,-6.70946,4.18243,-3.07152,-9.26044,0.336596,8.91294,8.10015,-3.37387,-2.38353,-8.3949,6.57094,4.17478,-1.05962,21.5498,,-0.476808,-2.53953,-9.82399,-4.95562,2.84884,2.47711,-0.169906,-3.1191,1.59892,-0.958888,-13.5846,2.87284,3.13225,-1.60331,-1.0834,2.77069,6.96189,,,,,4.42647,-0.188017,,9.57187,,,,-1.15976,,,,,-6.22423,-3.51994,3.20089,-0.346572,5.53162,-6.81662,,-0.842076
2011-12-07,0.021416,-0.646751,1.27823,4.1467,-0.944706,-1.84244,1.53499,8.80176,-0.225118,-7.3625,0.691125,-6.98123,-3.94845,2.17314,0.056322,8.62272,0.192572,-7.00171,6.38442,13.9931,-1.11988,6.23238,-4.50097,18.2317,-1.7553,-0.532104,7.54789,-16.417,-3.21038,2.8658,-2.69565,11.6819,-4.55015,-11.0555,0.869251,6.5694,3.20148,2.37914,4.32524,5.4531,,-0.906991,,30.6096,,-2.00405,2.22628,-15.6984,0.513409,-1.47841,-1.61548,1.69191,4.14915,19.6189,9.1327,-3.4086,-4.8625,-2.07927,-0.179786,-0.604562,-0.285363,-0.276242,-25.0652,6.70243,2.24764,-13.8062,1.30612,15.5391,-6.98099,3.26118,,-2.68601,2.58528,8.93998,-4.95562,-2.84884,-4.58478,-0.312674,-0.750943,3.83717,5.19283,-16.1084,-4.54996,5.00762,1.02452,1.87518,3.67143,-0.104562,-2.37163,29.0911,,,2.6569,0.180052,4.37467,8.46387,,,,-3.5277,0.165554,,0.638319,13.2292,2.753,-1.68802,0.158012,-1.48298,-17.0126,-3.01103,,-3.76512
2011-12-08,1.48874,2.17929,-1.20863,3.64215,0.268957,3.85323,0.272593,7.88511,8.55423,7.3625,-4.58169,-2.76335,-8.17661,-4.20021,0.036346,18.2908,-0.101278,4.87354,1.96536,16.5606,0.002331,0.333871,4.68001,-13.4137,1.47424,,,26.8202,-3.94056,6.9107,,11.876,15.9849,3.03219,-9.38747,0.049331,0.485537,11.1673,0.654106,5.28942,,3.05675,,1.85001,,,,,0.246525,0.199514,-3.33183,-0.585542,-3.02419,8.75223,-9.1327,0.405801,-0.347607,3.43747,-1.55568,-11.3721,3.03776,-1.0153,9.90677,1.03065,-0.729123,0.049906,1.77438,-4.80849,-6.98099,35.8844,,-1.17221,-0.921441,-2.41354,0.707758,-2.84884,-3.62938,-2.50467,-4.74083,0.435805,6.30567,1.00618,-4.09243,12.6864,4.6873,1.76765,-1.37931,1.62999,,,,,-0.029994,0.040302,,2.61606,,,,,,,0.638319,6.8392,9.35113,3.1983,-3.9591,-1.67062,,,,-0.089885
2011-12-09,1.08592,2.15855,1.16339,2.48699,1.45316,2.11871,4.10271,0.80423,1.90128,-2.25441,,-0.67791,-0.321873,0.047346,0.438022,-3.90997,-0.007616,-4.07702,,3.85383,,4.12894,-4.85534,7.31641,,0.129637,,0.195533,-0.128199,7.41204,,10.7701,12.1854,4.11962,-9.38747,0.306102,7.31791,5.81759,4.47546,5.62021,0.225184,10.9351,,-30.6096,,,,-5.89437,2.74395,5.77059,1.96087,5.15753,2.18939,1.1807,-4.93838,5.15703,4.89524,8.58164,0.835071,-3.7907,-0.32058,8.91294,-1.04679,-0.746962,-0.966533,1.00219,3.73185,-19.0168,,0.179358,,-0.253174,-0.116829,16.0009,4.91332,2.84884,7.37404,-1.64336,-4.80276,-0.297217,4.65864,-4.20769,2.16713,0.67817,-0.907976,-0.936029,-2.02191,2.81154,,,,,-0.213925,0.3728,4.37467,,,,,,,,,,-3.53266,-0.249445,-9.11399,4.05357,8.95969,-6.81662,,0.541838
2011-12-12,-0.159187,0.135027,-3.8973,-0.767832,0.803019,1.04039,-5.71261,-0.042231,8.55423,1.74394,-1.63068,0.396882,-4.28607,-3.9438,,-2.48469,-0.017443,0.223231,-6.38442,0.517629,-0.037724,7.4698,-11.0892,-11.3551,1.7553,,9.33976,12.8789,-1.24468,6.59758,2.69565,10.0033,-6.17942,-1.32791,,2.54067,-5.69152,5.36815,-5.88981,-5.65559,,3.68535,,0.394931,0.564954,,0.36408,-15.6984,-2.05411,-4.47973,-5.68414,-1.54257,0.424701,-1.29893,-7.23673,-11.6919,-1.56177,-8.54565,-7.48467,-3.99074,0.756867,4.86667,2.99013,2.4211,7.02701,1.3755,-7.51596,-17.6735,-2.77915,-8.06357,,-4.77075,-2.92856,-10.196,,,-3.34833,-1.33791,-0.457209,4.29117,-3.88875,-3.89891,-8.22283,4.60302,0.151898,3.13497,-0.716898,-1.22751,,,,,-1.42633,4.15665,,5.26882,,,,,,,,,2.1064,1.61703,0.323798,-3.60287,-13.3126,2.97036,,-3.22928
2011-12-13,-0.950686,-0.540269,-0.455157,1.61782,-2.40511,0.72033,-2.382,6.5721,-8.55423,7.3625,,-1.21332,-4.44329,2.24892,0.146007,17.2515,0.019029,0.160126,-3.30674,-27.0338,-0.541653,-3.01709,-1.41326,18.2317,1.7553,1.59631,,-16.67,4.87906,-8.43303,1.82351,-18.1085,-0.891243,1.75924,,3.561,-5.73714,-3.48795,0.502242,7.98957,,-17.2956,,30.6096,,2.00405,,5.23282,-0.170843,-9.06716,2.52663,-3.1564,-1.81246,-16.5944,0.583377,-4.88764,-6.59562,-4.86859,-0.453495,0.396361,-6.48089,8.91294,11.8425,6.70243,6.15985,-13.8062,-1.37327,-18.4519,,-35.8844,,1.37196,-0.527374,-13.1,4.71294,-2.84884,0.170048,1.36627,1.12356,-3.20323,4.75474,-3.05924,0.224489,3.4905,0.406201,4.96376,-0.402186,-1.19636,,22.6218,,,2.56123,4.81054,,4.38761,,,,,,,,,0.827453,3.52628,1.44403,-2.70727,3.60209,-6.81662,,
2011-12-14,1.29469,3.05674,-2.19704,1.2904,-1.12664,3.67096,-3.16081,-0.682652,-2.20405,7.3625,-4.0019,6.98123,6.18038,-0.411635,0.014592,-1.24221,1.23984,-7.95214,,-12.1561,-0.277145,0.637703,0.425093,7.79593,,0.210961,,-8.55334,-4.98476,1.06764,,-4.26595,-4.05659,-2.74035,,-7.4265,-7.31791,8.01873,-2.64087,0.091938,1.80361,12.3363,,30.6096,,-2.00405,9.43147,3.90807,4.68856,-0.426634,-1.66732,0.056601,2.17365,4.52599,-1.15152,-11.5351,11.6921,10.11,-1.89176,-5.52141,6.48089,1.10795,1.89294,-0.929775,-5.64128,2.41001,-7.35384,12.8779,3.95558,-9.92759,,-0.166303,4.00382,-7.40755,-1.23729,0.397572,0.547209,-0.221176,1.67507,0.954022,5.83323,3.43853,-1.57028,-8.83622,1.91537,4.96376,-1.14675,5.59987,,29.0911,,,1.61484,4.81054,,5.4e-05,,0.243854,,5.10039,,6.38083,,13.8699,3.08908,1.64459,-1.15389,-0.010511,1.90546,-1.81071,,1.05781
